state,SUM,latitude,longitude
Oregon,4,45.353,-122.332
New York,4,40.8153,-73.9358
Missouri,4,38.6419,-90.216
Michigan,4,42.2671,-85.5685
Texas,4,29.5923,-98.5866
Missouri,4,38.6717,-90.2419
New York,4,42.9209,-78.8002
Texas,4,29.8636,-95.4397
Kentucky,4,37.5141,-82.0858
Kentucky,4,37.4842,-82.4753
Ohio,4,41.6804,-83.5436
District of Columbia,4,38.9283,-76.957
Illinois,4,41.9044,-87.7743
Tennessee,4,35.1329,-90.0452
Pennsylvania,4,40.4059,-79.8612
Michigan,4,42.2851,-85.6234
New Jersey,4,39.569,-75.4666
Illinois,4,41.9029,-87.6548
Wisconsin,4,43.0735,-87.9483
District of Columbia,4,38.9163,-77.0035
Pennsylvania,4,40.0203,-75.1141
Tennessee,4,36.5896,-87.3101
Louisiana,4,29.9812,-90.0661
Massachusetts,4,42.3518,-71.0597
Illinois,4,41.7516,-87.5723
New York,4,40.6809,-73.7885
Nevada,4,36.1884,-115.152
Louisiana,4,30.1173,-91.8317
Illinois,4,41.6599,-87.5787
Florida,4,30.0688,-81.8662
Florida,4,28.5205,-81.3966
California,4,33.9642,-118.278
New York,4,40.7593,-73.8634
Ohio,4,40.6315,-80.5543
Pennsylvania,4,39.9927,-75.1312
Indiana,4,39.7602,-86.104
California,4,36.7814,-119.838
North Carolina,4,35.2608,-77.5492
California,4,34.0621,-117.784
Georgia,4,33.7545,-84.3862
Georgia,4,33.6729,-84.3919
New York,4,40.7445,-73.9317
New York,4,40.6549,-73.9385
Michigan,4,42.2565,-83.139
California,4,37.7543,-122.411
California,4,33.9185,-118.246
California,4,33.9081,-118.247
Virginia,4,36.7515,-76.1263
Nevada,4,36.2104,-115.147
Texas,4,29.4983,-98.526
Virginia,4,37.7683,-75.6361
Tennessee,4,35.0606,-90.0068
New York,4,40.657,-73.9242
Indiana,4,41.5906,-86.1815
Oregon,4,45.562,-122.674
California,6,38.0205,-121.325
Georgia,6,32.8129,-83.6996
Louisiana,5,29.8816,-91.5251
New Jersey,5,40.7341,-74.1912
Tennessee,5,35.1735,-89.9907
Georgia,5,33.7303,-84.2573
Georgia,5,34.1744,-84.8861
Mississippi,5,32.365,-90.2419
California,5,38.5956,-121.419
Texas,5,30.6777,-97.5925
California,4,33.909,-118.333
Ohio,4,41.4455,-82.1377
Tennessee,4,35.0221,-85.2697
Missouri,4,38.7067,-90.2494
Ohio,4,39.9252,-83.8218
Georgia,4,33.7336,-84.2303
Illinois,4,42.0038,-87.6727
Florida,4,30.0896,-83.5742
California,4,37.7752,-122.221
California,4,37.9595,-121.277
New Jersey,4,40.2334,-74.7593
California,4,37.9563,-122.368
Ohio,4,39.1282,-84.4982
Texas,4,32.7548,-97.0607
Tennessee,4,36.3534,-82.4026
California,4,33.7749,-118.189
South Carolina,4,33.318,-81.1453
South Carolina,4,33.2779,-81.113
Arizona,4,33.4642,-112.178
Texas,4,32.7093,-97.0776
Louisiana,4,29.9716,-90.0609
Oklahoma,4,36.1511,-95.9945
Minnesota,4,44.1815,-93.9926
Minnesota,4,44.1815,-93.9926
California,4,33.9811,-118.334
Texas,4,29.7289,-95.5291
Georgia,4,34.1723,-85.2159
Illinois,4,41.8939,-87.6414
Indiana,4,39.7721,-86.0998
Georgia,4,33.7622,-84.2059
Nevada,4,36.1146,-115.225
Georgia,4,33.7023,-84.329
California,4,33.6849,-116.188
Indiana,4,39.7721,-86.0998
Texas,4,32.6941,-96.8268
Texas,4,29.4103,-98.4249
North Carolina,4,35.9889,-78.8525
Ohio,4,41.6617,-83.5864
California,4,34.1075,-117.291
Illinois,4,41.8056,-87.5864
Michigan,4,42.4744,-83.1711
North Carolina,4,35.9336,-77.7924
California,4,38.5482,-122.819
California,4,32.5866,-117.094
Kentucky,4,38.0763,-84.4772
Illinois,4,41.8777,-87.755
Illinois,4,38.6234,-90.0958
Nevada,4,36.2207,-115.215
Arkansas,4,34.2147,-91.9956
New York,4,40.7321,-74.0013
Pennsylvania,4,39.9345,-75.19
Wisconsin,4,42.5226,-89.0227
Minnesota,4,44.963,-93.1187
Kansas,4,37.7306,-97.3076
New Mexico,4,35.1193,-106.615
Texas,4,32.7878,-96.7999
New York,4,42.9324,-78.8079
Tennessee,4,35.1554,-89.9561
Illinois,4,41.4878,-87.5734
New Jersey,4,40.6042,-74.4382
California,4,37.479,-122.138
North Carolina,4,36.181,-77.6666
Rhode Island,4,41.8625,-71.4539
South Carolina,4,34.3532,-79.7658
Georgia,4,33.4667,-81.9741
Illinois,4,41.7432,-87.6442
Michigan,4,42.4473,-82.9485
New York,4,43.1826,-77.5994
Virginia,4,36.8565,-76.2665
Illinois,4,41.8751,-87.7353
Illinois,4,41.881,-87.7358
Georgia,4,33.6981,-84.4488
Michigan,4,42.4167,-82.9622
South Carolina,4,33.5664,-81.8427
North Carolina,4,34.6116,-78.9526
North Carolina,4,35.147,-76.7629
Florida,4,25.8262,-80.2173
Illinois,4,41.8937,-87.7138
Florida,4,30.4436,-84.294
Ohio,4,39.9096,-83.8077
New Jersey,4,40.7401,-74.2005
Florida,3,30.3344,-81.5903
Kansas,3,38.3544,-98.7658
California,3,37.7786,-122.432
Michigan,3,42.3852,-82.9894
New York,3,43.0148,-76.1481
Illinois,3,41.8182,-87.6299
South Carolina,3,34.0071,-81.0128
Pennsylvania,3,42.1354,-80.0624
Kentucky,3,39.0065,-84.6166
Wisconsin,3,44.9743,-92.4373
Minnesota,3,44.9992,-93.2941
California,3,35.7615,-119.182
New Jersey,3,40.7645,-74.0353
Alabama,3,34.7998,-86.9778
California,3,33.7826,-118.18
California,3,36.7178,-119.789
Texas,3,29.4657,-98.3765
Florida,3,30.3544,-81.6886
Alabama,3,32.3266,-86.2594
Maryland,3,39.3604,-76.7871
Florida,3,25.8478,-80.1899
Tennessee,3,35.9621,-83.9285
Tennessee,3,35.9628,-83.9289
South Carolina,3,34.9752,-81.9148
Ohio,3,41.643,-83.5771
Louisiana,3,30.4856,-92.4119
Illinois,3,41.7471,-87.7075
North Carolina,3,36.4114,-77.6076
Indiana,3,38.4415,-86.3901
Louisiana,3,30.4856,-92.4119
Arkansas,3,34.5291,-90.59
Illinois,3,41.5013,-90.511
Washington,3,48.1927,-122.48
Florida,3,30.3358,-81.7646
California,3,38.2789,-122.006
Illinois,3,41.7975,-87.6317
Virginia,3,37.5166,-77.3954
New York,3,40.8226,-73.9204
North Carolina,3,35.9958,-78.8874
Arkansas,3,35.3288,-91.562
Illinois,3,41.8747,-87.8388
North Carolina,3,35.5547,-79.2381
Illinois,3,41.8544,-87.7151
California,3,36.6866,-121.614
Alabama,3,33.5056,-86.8496
Alabama,3,33.5207,-86.8025
North Carolina,3,35.0479,-78.8653
Alabama,3,30.726,-88.1056
Massachusetts,3,42.2639,-71.8334
Tennessee,3,35.0224,-90.024
Alabama,3,33.5081,-86.857
Florida,3,30.3481,-81.6331
California,3,38.5202,-121.442
Georgia,3,33.0646,-84.9772
Illinois,3,41.7564,-87.5864
California,3,38.4743,-121.441
Ohio,3,39.988,-82.9546
Colorado,3,38.8323,-104.762
Texas,3,27.6969,-97.3993
Connecticut,3,41.5437,-73.0485
Illinois,3,41.8783,-87.6867
North Carolina,3,35.6751,-80.4856
Alabama,3,30.7015,-88.1165
Illinois,3,41.7835,-87.6376
Georgia,3,32.8337,-83.6686
North Carolina,3,36.0912,-79.7577
North Carolina,3,35.4048,-77.9832
Mississippi,3,34.1999,-90.5533
New York,3,42.8751,-78.8278
Illinois,3,41.7536,-87.5626
North Carolina,3,35.596,-77.3895
Vermont,3,43.8147,-73.0906
New York,3,40.6512,-73.9437
Virginia,3,37.0735,-76.4922
Connecticut,3,41.7878,-72.6733
Illinois,3,41.8877,-87.7651
Alabama,3,33.5148,-86.8795
New Jersey,3,40.7311,-74.2324
Illinois,3,41.7422,-87.5564
Michigan,3,42.6315,-83.2838
Ohio,3,41.5123,-81.6653
Illinois,3,41.9104,-87.6947
Florida,3,26.2115,-80.2124
Tennessee,3,36.3038,-88.3133
California,3,34.1361,-117.315
Louisiana,3,30.3867,-91.1078
Oregon,3,45.5421,-122.549
New York,3,42.8963,-78.8833
Alabama,3,33.565,-86.7813
Tennessee,3,36.145,-86.7892
Arizona,3,32.2162,-110.971
Alabama,3,31.1448,-85.7143
Arkansas,3,34.5999,-92.2881
Alabama,3,33.4986,-86.935
Indiana,3,39.8068,-86.112
New Jersey,3,40.2261,-74.7649
Texas,3,32.7715,-96.8565
North Carolina,3,35.2427,-79.252
Virginia,3,37.0098,-76.3542
Ohio,3,39.1211,-84.2367
Tennessee,3,36.5324,-87.3492
West Virginia,3,38.3486,-81.637
Missouri,3,38.6,-90.2559
Maryland,3,39.2806,-76.6957
Alaska,3,61.2301,-149.845
New Jersey,3,40.2206,-74.017
Indiana,3,39.7935,-84.8714
New York,3,40.6896,-73.9671
West Virginia,3,38.3718,-81.6531
Illinois,3,41.8729,-87.6961
Florida,3,25.814,-80.2346
Illinois,3,41.7516,-87.5723
Illinois,3,42.3492,-87.8743
Ohio,3,41.5038,-81.6721
Michigan,3,42.3481,-83.0613
South Carolina,3,32.927,-80.0735
California,3,39.5121,-121.551
South Carolina,3,32.7916,-79.9419
District of Columbia,3,38.8417,-77.0033
Kentucky,3,36.8666,-87.4807
Ohio,3,41.4679,-81.7638
Illinois,3,41.7222,-87.5948
California,3,35.3572,-119.007
California,3,33.9776,-118.255
California,3,39.7342,-121.859
New York,3,43.0915,-79.0389
Massachusetts,3,42.5818,-71.8215
Louisiana,3,29.9672,-90.0378
Illinois,3,41.7669,-87.5829
Florida,3,26.6855,-80.6713
Connecticut,3,41.3241,-72.872
North Carolina,3,35.2951,-80.8359
Illinois,3,40.7152,-89.5842
Maryland,3,39.301,-76.6479
Maryland,3,39.301,-76.6479
